Id,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalDuration
1503960366,1200,594,6818,26293,34905
1624580081,269,180,4758,38990,44197
1644430081,287,641,5354,34856,41138
1844505072,4,40,3579,37405,41028
1927972279,41,24,1196,40840,42101
2022484408,1125,600,7981,34490,44196
2026352035,3,8,7956,21372,29339
2320127002,42,80,6144,37823,44089
2347167796,243,370,4545,12369,17527
2873212765,437,190,9548,34013,44188
3372868164,183,82,6558,21551,28374
3977333714,567,1838,5243,21226,28874
4020332650,161,166,2385,38355,41067
4057192912,3,6,412,4869,5290
4319703577,111,382,7092,22810,30395
4388161847,718,631,7110,25937,34396
4445114986,205,54,6482,25727,32468
4558609924,322,425,8834,33902,43483
4702921684,159,807,7362,23759,32087
5553957443,726,403,6392,20719,28240
5577150313,2620,895,4438,22633,30586
6117666160,44,57,8074,22296,30471
6290855005,80,110,6596,34598,41384
6775888955,286,385,1044,33785,35500
6962181067,707,574,7620,20532,29433
7007744171,807,423,7299,27439,35968
7086361926,1320,786,4459,26364,32929
8053475328,2640,297,4680,35588,43205
8253242879,390,272,2221,24460,27343
8378563200,1819,318,4839,22200,29176
8583815059,300,688,4287,39284,44559
8792009665,28,117,2662,30754,33561
8877689391,2048,308,7276,34499,44131